date,level,group,spc_bin,prev_cnt,prev_avg_eok,curr_cnt,curr_avg_eok,avg_change_pct,new_cnt,new_avg_eok,new_premium_pct,del_cnt,del_avg_eok,del_premium_pct
2026-01-21,ALL,ALL,132-164,147,26.7,137,27.0,+1.1%,76,23.9,-11.5%,86,23.72,-12.2%
2026-01-21,ALL,ALL,33-65,217,9.49,219,9.43,-0.7%,141,8.93,-5.3%,139,9.02,-4.3%
2026-01-21,ALL,ALL,66-98,642,16.08,637,16.07,-0.1%,369,15.16,-5.7%,374,15.19,-5.5%
2026-01-21,ALL,ALL,99-131,229,26.4,233,26.24,-0.6%,128,25.58,-2.5%,124,25.89,-1.3%
2026-01-21,ALL,ALL,<33,12,2.6,8,2.57,-1.3%,6,2.48,-3.2%,10,2.56,-0.1%
2026-01-21,ALL,ALL,>=165,23,41.74,24,40.13,-3.9%,18,40.96,+2.1%,17,43.19,+7.6%
2026-01-21,ALL,ALL,ALL_BINS,1270,18.38,1258,18.36,-0.1%,738,17.2,-6.3%,750,17.26,-6.0%
2026-01-22,ALL,ALL,99-131,228,26.13,234,26.16,+0.1%,135,25.54,-2.4%,129,25.46,-2.7%
2026-01-22,ALL,ALL,132-164,145,26.54,134,26.96,+1.6%,75,24.84,-7.8%,86,24.41,-9.4%
2026-01-22,ALL,ALL,66-98,637,16.13,628,16.13,+0.0%,357,15.22,-5.7%,366,15.24,-5.5%
2026-01-22,ALL,ALL,>=165,23,41.74,24,40.37,-3.3%,18,39.0,-3.4%,17,40.77,+1.0%
2026-01-22,ALL,ALL,<33,13,2.57,7,2.6,+0.9%,4,2.45,-5.6%,10,2.51,-3.4%
2026-01-22,ALL,ALL,ALL_BINS,1275,18.21,1244,18.42,+1.2%,722,17.54,-4.8%,753,17.21,-6.5%
2026-01-22,ALL,ALL,33-65,229,9.32,217,9.49,+1.8%,133,9.06,-4.5%,145,8.83,-7.0%
2026-01-23,ALL,ALL,33-65,228,9.37,221,9.59,+2.4%,135,9.06,-5.5%,142,8.73,-8.9%
2026-01-23,ALL,ALL,99-131,232,26.03,235,25.98,-0.2%,138,25.39,-2.3%,135,25.44,-2.1%
2026-01-23,ALL,ALL,66-98,638,16.08,634,16.04,-0.3%,353,15.05,-6.2%,357,15.13,-5.7%
2026-01-23,ALL,ALL,>=165,24,40.33,24,40.46,+0.3%,17,40.95,+1.2%,17,40.77,+0.8%
2026-01-23,ALL,ALL,<33,13,2.57,6,2.57,-0.3%,4,2.45,-4.4%,11,2.54,-1.2%
2026-01-23,ALL,ALL,ALL_BINS,1279,18.18,1250,18.31,+0.7%,726,17.62,-3.8%,755,17.41,-4.9%
2026-01-23,ALL,ALL,132-164,144,26.44,130,26.98,+2.0%,79,25.91,-3.9%,93,25.22,-6.5%
2026-01-24,ALL,ALL,>=165,24,40.33,25,39.6,-1.8%,20,41.05,+3.7%,19,42.05,+6.2%
2026-01-24,ALL,ALL,ALL_BINS,1279,18.25,1264,18.25,+0.0%,737,17.62,-3.5%,752,17.62,-3.5%
2026-01-24,ALL,ALL,132-164,145,26.48,133,26.69,+0.8%,83,25.76,-3.5%,95,25.52,-4.4%
2026-01-24,ALL,ALL,33-65,229,9.41,226,9.54,+1.4%,142,9.05,-5.1%,145,8.87,-7.0%
2026-01-24,ALL,ALL,66-98,636,16.14,637,16.04,-0.6%,354,15.08,-6.0%,353,15.25,-4.9%
2026-01-24,ALL,ALL,99-131,233,26.1,236,26.02,-0.3%,134,25.33,-2.7%,131,25.42,-2.3%
2026-01-24,ALL,ALL,<33,12,2.63,7,2.53,-3.8%,4,2.32,-8.1%,9,2.57,+1.7%
2026-01-25,ALL,ALL,ALL_BINS,1264,18.35,1272,18.25,-0.5%,743,17.57,-3.7%,735,17.72,-2.9%
